companyId;email;birthdate
1;teste@gmail.com;25/01/2000
1;teste2@gmail.com;25/01/2000
1;teste3@gmail.com;25/01/2000
1;teste4@gmail.com;25/01/2000
1;teste@gmail.com;25/01/2000
1;teste@gmail.com;25/01/2000
1;teste2@gmail.com;25/01/2000
2;teste@gmail.com;25/01/2000
2;teste2@gmail.com;25/01/2000
2;teste3@gmail.com;25/01/2000
2;teste4@gmail.com;25/01/2000
2;teste@gmail.com;25/01/2000
2;teste@gmail.com;25/01/2000
3;teste@gmail.com;25/01/2000
3;teste2@gmail.com;25/01/2000
3;teste3@gmail.com;25/01/2000
3;teste4@gmail.com;25/01/2000
3;teste2@gmail.com;25/01/2000
3;teste4@gmail.com;25/01/2000
4;teste@gmail.com;25/01/2000
4;teste2@gmail.com;25/01/2000
4;teste3@gmail.com;25/01/2000
4;teste4@gmail.com;25/01/2000
5;teste@gmail.com;25/01/2000
5;teste2@gmail.com;25/01/2000
5;teste3@gmail.com;25/01/2000
5;teste4@gmail.com;25-01-2000
